file,label,event_number,event_time_seconds,sampling_rate_hz,x_mean,x_std,x_rms,x_peak,x_peak_to_peak,x_abs_mean,x_energy,y_mean,y_std,y_rms,y_peak,y_peak_to_peak,y_abs_mean,y_energy,z_mean,z_std,z_rms,z_peak,z_peak_to_peak,z_abs_mean,z_energy,magnitude_mean,magnitude_std,magnitude_rms,magnitude_peak,magnitude_peak_to_peak,magnitude_abs_mean,magnitude_energy,x_fft_dominant_frequency,x_fft_dominant_magnitude,x_fft_spectral_energy,x_fft_spectral_centroid,x_fft_energy_0_10hz,x_fft_energy_10_25hz,x_fft_energy_25_50hz,x_fft_energy_50_75hz,x_fft_energy_75_100hz,y_fft_dominant_frequency,y_fft_dominant_magnitude,y_fft_spectral_energy,y_fft_spectral_centroid,y_fft_energy_0_10hz,y_fft_energy_10_25hz,y_fft_energy_25_50hz,y_fft_energy_50_75hz,y_fft_energy_75_100hz,z_fft_dominant_frequency,z_fft_dominant_magnitude,z_fft_spectral_energy,z_fft_spectral_centroid,z_fft_energy_0_10hz,z_fft_energy_10_25hz,z_fft_energy_25_50hz,z_fft_energy_50_75hz,z_fft_energy_75_100hz,magnitude_fft_dominant_frequency,magnitude_fft_dominant_magnitude,magnitude_fft_spectral_energy,magnitude_fft_spectral_centroid,magnitude_fft_energy_0_10hz,magnitude_fft_energy_10_25hz,magnitude_fft_energy_25_50hz,magnitude_fft_energy_50_75hz,magnitude_fft_energy_75_100hz,secondary_peak,secondary_primary_ratio,secondary_delay_ms,number_of_secondary_peaks
background.csv,BACKGROUND,1,7.15,200.0,-1.1464796052500538e-05,0.007021162755111907,0.00702117211548892,0.06615434030003822,0.11195679265227722,0.0037301961444240867,0.019718743150127657,3.061739230638938e-05,0.0037800143145259707,0.0037801383100004274,0.017918605805365313,0.035360125693723814,0.0027048614797862656,0.005715778257093155,1.965070816685112e-06,0.008908835350175281,0.008908835566898518,0.09841057921541602,0.16517958510109843,0.004437426301325628,0.03174694046321442,0.0072753358859588965,0.009488052614871335,0.011956322790728263,0.10598005669288882,0.10536069829824499,0.0072753358859588965,0.057181461870435234,12.5,0.2115652985655888,1.1835015455361475,38.323965579208554,0.12970603266026826,0.5692923968903572,0.3068662126292318,0.08173415756829479,0.09481183641679325,11.0,0.11500861727976587,0.3651524643964752,46.457241223050296,0.016845174124891553,0.12985966795840445,0.0686389697249512,0.10377664359629687,0.0458044592425073,19.0,0.21221118864926766,1.7242588175185405,47.259335379460666,0.05359361801090787,0.5435335633660908,0.4359955997229107,0.4686943799944975,0.2164318841082237,0.5,0.5167960756476325,1.9048648236821524,39.796032912543446,1.2387256311355792,0.1694319269128064,0.11497518697524357,0.05484639888956175,0.3267722305729361,0.015491567310223506,0.1461743633060632,90.0,5
background2.csv,BACKGROUND,1,19.33,200.0,-0.0001468642497576824,0.0056088576253469635,0.005610780067804267,0.02788839383566096,0.05081895541406492,0.004187393212027834,0.012592341187707863,-0.00039222394967162,0.007050402572557921,0.007061304133219823,0.03545370661735003,0.06051433525464326,0.0048886906498138835,0.019944806424730944,2.1644756723696615e-05,0.014032386370767948,0.014032403064122971,0.11105093173359368,0.1705218871762027,0.0082961842783779,0.0787633343016031,0.011885662371524719,0.011703940993324691,0.016680863430443425,0.11271708883424285,0.11199152695336076,0.011885662371524719,0.1113004819140419,11.0,0.2879833752565057,0.9730134688267678,42.2206872218324,0.054525203748509055,0.31701395184099457,0.4426266343090445,0.08231367408057784,0.07501978290562673,13.5,0.2837768332121979,1.0360386139281528,44.66070668051903,0.09640108798414468,0.26973590938906533,0.2772938760283326,0.312269023326395,0.08029336720662554,36.5,0.6237547833140739,7.399038058848715,50.3131566765895,0.0658316620169286,0.1852839026146398,4.380297607398681,2.1162217991842387,0.6318528220571674,0.5,0.8080729667724791,4.921367829560867,41.57056591564086,2.5461762631577294,0.9209529582152085,0.26990956904827595,0.36199957573801106,0.8174108247206233,0.05033301415770837,0.44654288607228,580.0,5
background3.csv,BACKGROUND,1,7.135,200.0,-2.0735056307854813e-05,0.005815825136111547,0.005815862099154947,0.022132218998608226,0.042613129474569106,0.004561689427755339,0.013529700782554794,-9.04317610694911e-05,0.010179864722048654,0.010180266384659138,0.035304710210442396,0.07047155184099924,0.007380782403499628,0.04145512946504833,-2.387202903832205e-05,0.022228320439911534,0.02222833325854998,0.09576234087284627,0.18576619066537395,0.0159938583008364,0.19763951978126368,0.01947836050724869,0.015879368596446824,0.025130874936463453,0.09958996358020011,0.09832197488560726,0.01947836050724869,0.2526243500288668,12.5,0.22788250172211383,0.7764551297043024,46.65146411358369,0.02326393105226611,0.21642007116659717,0.2996259016813893,0.14263003934464433,0.09429089328853286,55.5,0.4784509835626733,2.163049773419691,49.872238179310905,0.022044771180899148,0.16487435663589572,0.3140950877184961,1.5812645138550472,0.07811482287250697,55.5,1.1475539743616816,10.41423376359987,49.79804653983851,0.06572102345119389,0.14713248898523276,3.3078031043307266,6.607348858809078,0.28616503444787184,5.5,0.5758273518910292,5.062805721205052,47.707701529504256,2.1963814243248976,0.7374203090783706,0.19488241424841343,0.17744533727088332,1.734538388791005,0.09958996358020011,1.0,1215.0,13
background3.csv,BACKGROUND,2,8.35,200.0,1.0872729745819492e-05,0.005192823530481247,0.005192834913125184,0.022132218998608226,0.042613129474569106,0.003998102106937509,0.010786213773988737,-3.8272948803003235e-05,0.007866482678548973,0.00786657578305333,0.03172777264373515,0.05907245884986645,0.005627363997325574,0.024753205820208436,-0.00012100364418907134,0.01683858148164401,0.016839016247865303,0.09576234087284627,0.18576619066537395,0.011510975441476478,0.11342098727834866,0.014592638618179889,0.012627585491318977,0.019297694607941243,0.09958996358020011,0.09907141928891298,0.014592638618179889,0.14896040687254583,13.0,0.2337498496115617,0.6858796977914969,43.52219128724437,0.039956719907707564,0.15530168749717935,0.32536239528565813,0.096765095783209,0.06839511832030146,59.0,0.4711929885703275,1.929568809084071,48.073653645841524,0.02098227510659773,0.3414613161541849,0.19897304840075727,1.3105959394546813,0.05748938408049285,59.0,0.8067124513056685,7.41164115429541,48.828333411526884,0.044232003913612886,0.16580214973596202,2.48368084259388,4.515202531918121,0.1594894073913384,2.5,0.6592789048849133,4.079128980918348,43.01245657786698,2.137037442366121,0.6080576049332594,0.21815044678138293,0.1735604527642056,0.9408721157584529,0.06466648364641343,0.6493273149390933,365.0,13
background3.csv,BACKGROUND,3,10.205,200.0,-1.248509460287241e-05,0.004262192981120738,0.004262211267159587,0.014628062519832324,0.027640194117576414,0.003325303041157409,0.007266577954360852,2.3374518082751447e-05,0.00648693973330321,0.0064869818460978855,0.03922980653794335,0.07394235311710898,0.004282674020559859,0.016832373388641412,-8.226524829450955e-05,0.014220720461838504,0.014220958407393973,0.09006301523940702,0.16451868997109484,0.00924709304441056,0.08089426320993173,0.011721237912326448,0.011184615245281174,0.016201328228955026,0.09679619904582246,0.0963448847166283,0.011721237912326448,0.10499321455293398,11.5,0.1700797019600123,0.5924800520641625,47.167023589524135,0.03892895508477498,0.17729088953517444,0.172485432435003,0.11802351781649476,0.07944125010646905,58.5,0.21246980029943913,0.839072418896867,49.16894037466214,0.009068987242965279,0.14051946474817323,0.15891642729381208,0.47052248161987437,0.059992136360331266,58.5,0.4992375083439499,3.5906421146505583,51.47330718234813,0.05172372552735045,0.20882984192244813,0.9052721038533179,2.1320003518292694,0.2840638837158303,3.0,0.44089608809595415,2.1570459703040106,45.26106577039356,1.0848416150956324,0.2510383607135744,0.10329640278294333,0.13500981409813095,0.5731228095692542,0.05964338293979842,0.6161748449602218,1455.0,13
background3.csv,BACKGROUND,4,11.65,200.0,-2.5258945653551384e-05,0.004663729116681333,0.004663797517915715,0.01597523240399474,0.03185264427618959,0.0036213285449036054,0.008700402915246715,2.5241773211482123e-05,0.006478987634456134,0.006479036804537411,0.027606354984379803,0.053543301708284446,0.00475113670969356,0.016791167165820138,9.835208312060649e-05,0.013712808515425976,0.013713161215160906,0.05614868172377014,0.1096678267748685,0.010127839737849522,0.07522031620519734,0.012774237015386346,0.009412682103969823,0.015867568046668664,0.05964338293979842,0.05823961628681677,0.012774237015386346,0.10071188628626418,12.5,0.24625850149394568,0.648095176272586,43.97704526707684,0.03204977461587937,0.26135118594651674,0.18894657698360773,0.09808566118799875,0.0675644720938291,57.5,0.34046028057267286,1.3962548846224059,49.55508793285171,0.018305799011451834,0.17463529889148818,0.23369741617677797,0.9073840864672035,0.06216119332924655,57.5,0.709957982903959,5.383201216867542,51.351209768004956,0.0365519925458415,0.13553783543175543,1.302253495674585,3.721828070442834,0.18680180819830444,4.0,0.4029330714514455,2.2469498432639767,45.881162454412134,0.9004063199580274,0.3711290529681802,0.1390280645521899,0.14552090958961517,0.6725655223058096,0.048053586347190085,0.8056817701922341,1475.0,13
background3.csv,BACKGROUND,5,13.925,200.0,1.855020722742871e-05,0.004582256027869514,0.00458229357583456,0.01651410245860159,0.03246506064936192,0.0035901542044815813,0.008398965766053871,-4.823116844722319e-05,0.007810638835817876,0.007810787749593264,0.031048256967399393,0.058856786650956866,0.005665949141343892,0.024403362107678482,2.582929389406489e-05,0.015140780728628877,0.015140802760251607,0.06078156590645908,0.1212153699901645,0.0105555719775665,0.09169756328993707,0.0135725177330358,0.011271046548373504,0.017642271053046815,0.06800116688158508,0.06667764268140727,0.0135725177330358,0.12449989116366943,12.5,0.2508888912438338,0.6676387787637761,42.76269516367773,0.052764924752095606,0.2603422174286152,0.20702789135990968,0.09094000282742298,0.05512616878790842,60.0,0.41159087916108195,2.069720362313312,47.99643105609415,0.022910791605479534,0.389071038288096,0.2511747121807247,1.3535187155775004,0.052880774204745296,55.5,0.761184949026642,8.129068166171926,51.050955483817205,0.05683524693786885,0.15869770285359688,2.1498485824612223,5.5131170580925986,0.24934710375618635,4.5,0.613889203337564,4.002909946522517,43.69287495343436,2.159916799374588,0.5477694366337653,0.12754675100637264,0.20110287918641698,0.9664761470973082,0.06800116688158508,1.0,1090.0,13
background3.csv,BACKGROUND,6,15.02,200.0,-4.1972234529885113e-05,0.004194845092758051,0.00419505506766094,0.015950958190760332,0.029288311430224166,0.003281738206637479,0.007039394808283093,2.765944910945833e-05,0.00643975208832923,0.006439811488255361,0.031048256967399393,0.055626808839271735,0.004819117578448161,0.016588468801706287,1.757590100015558e-05,0.011316252990619969,0.011316266639665723,0.06043380408370542,0.11944464584273545,0.0077876594783532,0.051223156264004546,0.01077093434464694,0.00843294272649173,0.013679457214560263,0.06800116688158508,0.06675673101854022,0.01077093434464694,0.07485101987399392,13.0,0.21457778627391302,0.5093042211178208,44.41022419171142,0.038049563289731136,0.18998455490218769,0.13962648725787397,0.07000550083045778,0.07109696722191568,13.5,0.46830988090398074,1.365238245320564,47.656296608644574,0.04168937881527995,0.4535191360520271,0.11620909192667411,0.7003445940754806,0.05286795913273553,57.5,0.5859322125289801,3.8579810997819823,50.48420622470566,0.03921115101984893,0.11549125114521655,0.9704371424685324,2.5952452327723035,0.13544454789000376,1.5,0.4467445605321725,2.2862306424960575,45.65872564134278,1.145329859628064,0.239853877278478,0.1287105464694362,0.10796742088227775,0.6481470283929963,0.04731208488844092,0.6957540150866613,705.0,13
background3.csv,BACKGROUND,7,17.8,200.0,2.8042536215537847e-05,0.0050756366750106825,0.0050757141409412425,0.018471624793376787,0.03577817164874637,0.003783798414734969,0.010305149616220357,3.550616386381804e-05,0.0066413596478041145,0.00664145455899181,0.028180964730001635,0.0482960354825232,0.005001893733149216,0.01764356746366124,7.745460704103194e-05,0.013958867991000342,0.013959082878410236,0.05071971834674624,0.09429484818873016,0.010200636818897189,0.07794239792253031,0.01311448036307813,0.009630067098025222,0.016270457507581947,0.05373980985663889,0.053183733482526516,0.01311448036307813,0.10589111500241191,11.0,0.3713661775356091,0.9826110158396675,40.08645881280433,0.124215320443635,0.4382169434976572,0.2656862656679992,0.08308692017460935,0.06970970676908393,56.5,0.41101996744407854,1.4998607713114709,48.524674160677534,0.06035749885766789,0.1344595621324319,0.17094779851893213,1.0832218006632202,0.05064538472819044,56.5,0.9945678907533009,6.409191686571916,49.558433864385776,0.07959609261875109,0.1934472885236259,1.3091845760799699,4.687217761255652,0.13571303106874277,0.5,0.5276660590557685,2.8198663774423247,47.58139508194774,1.2218120162833666,0.31383498341464444,0.14481544672735058,0.16983970434759652,0.9638334768572745,0.04846410834202633,0.9018288019870838,1460.0,14
background3.csv,BACKGROUND,8,19.825,200.0,1.577237935716478e-05,0.005494096639667179,0.005494119279188683,0.01921743230938118,0.03652397916475076,0.0041257750980777655,0.012074138661581111,-1.9254608388299434e-05,0.006667496343934916,0.006667524145912758,0.03351201294741086,0.05244897712241628,0.004947589933289449,0.017782351294531863,0.000249485021941045,0.015066365900904412,0.015068431379413987,0.07228853842238218,0.14116100019561084,0.010742758086802487,0.09082304969444324,0.013733648141627293,0.0106341787575895,0.01736948039310303,0.07565448480273877,0.0750984084286264,0.013733648141627293,0.1206795396505562,36.0,0.22621653920519716,0.6022857424068002,45.17092599895147,0.030799948906798682,0.17421965752282842,0.238230896702256,0.09540044766703716,0.06343238982957929,58.5,0.23557932142520377,1.0500696404348293,50.15541210906167,0.01527955979845221,0.09065765952116453,0.17640087888123973,0.7194279685522524,0.04829725349321392,36.0,0.6426759480675149,5.3905553879847865,49.634321548156905,0.033986003620499326,0.18781371560448035,1.7515085404459223,3.2153584769606196,0.19534971929861936,3.5,0.5571636561051507,2.955836507196504,48.12023985485905,1.3709907846763885,0.31836262883077915,0.09130429299628778,0.11847096767809867,1.0556024983888372,0.029783975645805656,0.3936842042274729,135.0,1
