timestamp_us,x_g,y_g,z_g
946059606,0.125732,0.183594,1.025879
946064606,0.125,0.181641,1.020508
946069606,0.121582,0.186523,1.013916
946074606,0.127686,0.185791,1.023926
946079606,0.130615,0.185547,1.026367
946084606,0.129639,0.181641,1.026367
946089606,0.120361,0.185303,1.030762
946094606,0.121094,0.183594,1.025391
946099606,0.117432,0.181396,1.026611
946104606,0.121338,0.184814,1.034668
946109606,0.121582,0.184326,1.022949
946114606,0.118164,0.186035,1.024902
946119606,0.122803,0.183838,1.027344
946124606,0.124512,0.182861,1.02002
946129606,0.118164,0.181641,1.026367
946134606,0.122559,0.185303,1.027344
946139606,0.126953,0.182617,1.032227
946144606,0.126465,0.186768,1.025391
946149606,0.125,0.183838,1.025879
946154606,0.121826,0.185303,1.029297
946159606,0.12085,0.183105,1.030518
946164606,0.122803,0.188477,1.029785
946169606,0.121582,0.182373,1.026855
946174606,0.127441,0.183838,1.027588
946179606,0.125244,0.180908,1.026123
946184606,0.129395,0.185059,1.0271
946189606,0.119141,0.186768,1.031738
946194606,0.121338,0.184326,1.025391
946199606,0.123047,0.183838,1.029297
946204606,0.12085,0.184082,1.021484
946209606,0.124756,0.178955,1.026611
946214606,0.121582,0.181152,1.024658
946219606,0.121826,0.184814,1.0271
946224606,0.12207,0.184082,1.026123
946229606,0.125244,0.181885,1.023193
946234606,0.125977,0.185059,1.02124
946239606,0.125,0.182129,1.0271
946244606,0.129639,0.185059,1.022461
946249606,0.122559,0.188721,1.019287
946254606,0.12793,0.18335,1.029541
946259606,0.123535,0.183105,1.029053
946264606,0.125977,0.179687,1.027344
946269606,0.125,0.181396,1.027588
946274606,0.121338,0.181885,1.026123
946279606,0.122803,0.186768,1.031494
946284606,0.122559,0.182129,1.032715
946289606,0.124512,0.184082,1.028076
946294606,0.126953,0.182373,1.027588
946299606,0.124023,0.182129,1.026367
946304606,0.121826,0.179687,1.026855
946309606,0.123535,0.184326,1.029297
946314606,0.121582,0.187012,1.025146
946319606,0.124023,0.179687,1.02417
946324606,0.126221,0.180908,1.030762
946329606,0.124512,0.184326,1.03125
946334606,0.124268,0.182861,1.028076
946339606,0.123291,0.181152,1.024902
946344606,0.127441,0.179932,1.030273
946349606,0.119873,0.183105,1.02832
946354606,0.121582,0.179932,1.026123
946359606,0.122803,0.183838,1.028564
946364606,0.123291,0.184326,1.030518
946369606,0.126465,0.186035,1.029053
946374606,0.121582,0.183594,1.023193
946379606,0.126465,0.183594,1.029541
946384606,0.119141,0.183105,1.020996
946389606,0.128174,0.183105,1.022461
946394606,0.121826,0.18457,1.026367
946399606,0.125244,0.181885,1.021729
946404606,0.121582,0.183594,1.023438
946409606,0.123291,0.181152,1.026855
946414606,0.123291,0.18335,1.026123
946419606,0.122559,0.18457,1.0271
946424606,0.124268,0.18335,1.023926
946429606,0.119629,0.187012,1.0271
946434606,0.123291,0.177002,1.025146
946439606,0.121826,0.183594,1.025635
946444606,0.123047,0.182129,1.027344
946449606,0.128174,0.183838,1.024414
946454606,0.127686,0.186768,1.025635
946459606,0.124756,0.183594,1.026123
946464606,0.130371,0.182861,1.028809
946469606,0.128906,0.181396,1.027588
946474606,0.125977,0.184326,1.027344
946479606,0.126221,0.183838,1.0271
946484606,0.123779,0.180664,1.02002
946489606,0.125,0.187744,1.028076
946494606,0.119141,0.182129,1.031982
946499606,0.118652,0.182373,1.030029
946504606,0.12207,0.184814,1.024658
946509606,0.121582,0.186035,1.025146
946514606,0.127197,0.181885,1.019043
946519606,0.127686,0.182373,1.029785
946524606,0.12793,0.183105,1.031982
946529606,0.125977,0.182129,1.021729
946534606,0.125488,0.18335,1.023193
946539606,0.120605,0.181396,1.026611
946544606,0.125977,0.180664,1.027344
