timestamp_us,x_g,y_g,z_g
251942321,0.095947,0.213135,1.023682
251947321,0.098389,0.210449,1.025635
251952321,0.101074,0.211914,1.01709
251957321,0.103271,0.210693,1.021484
251962321,0.107666,0.213379,1.020264
251967321,0.104736,0.207764,1.022949
251972321,0.106201,0.210693,1.032715
251977321,0.109863,0.213867,1.027344
251982321,0.096924,0.218262,1.031006
251987321,0.097412,0.216797,1.023926
251992321,0.094727,0.213379,1.024902
251997321,0.093506,0.213379,1.018555
252002321,0.090332,0.212891,1.023193
252007321,0.096924,0.213135,1.025879
252012321,0.097412,0.20752,1.034912
252017321,0.098389,0.208496,1.023926
252022321,0.095459,0.210937,1.026611
252027321,0.096436,0.209229,1.015137
252032321,0.099365,0.213867,1.018311
252037321,0.098145,0.210449,1.017822
252042321,0.098145,0.215088,1.024414
252047321,0.100586,0.2146,1.024414
252052321,0.101318,0.218506,1.024902
252057321,0.099365,0.214111,1.022705
252062321,0.099121,0.215576,1.029541
252067321,0.092285,0.208984,1.011475
252072321,0.106445,0.21875,1.03418
252077321,0.096191,0.218994,1.02124
252082321,0.094971,0.21582,1.024658
252087321,0.094482,0.203613,0.994873
252092321,0.096924,0.211914,1.02417
252097321,0.095459,0.221436,1.041016
252102321,0.098389,0.210205,1.015381
252107321,0.097412,0.218018,1.012451
252112321,0.095215,0.216309,1.018311
254967321,0.094971,0.210449,1.028564
254972321,0.0896,0.21167,1.025879
254977321,0.092529,0.208008,1.020264
254982321,0.092773,0.208984,1.023926
254987321,0.092285,0.20752,1.024902
254992321,0.09082,0.213379,1.020264
254997321,0.09375,0.212158,1.024902
255002321,0.097168,0.218506,1.028809
255007321,0.095703,0.217041,1.025635
255012321,0.103516,0.217773,1.030273
255017321,0.102051,0.217041,1.024902
255022321,0.102539,0.212158,1.016357
255027321,0.103027,0.2146,1.019775
255032321,0.103271,0.211426,1.030518
255037321,0.100098,0.205078,1.021729
255042321,0.099854,0.205811,1.02417
255047321,0.099365,0.212891,1.024414
255052321,0.094727,0.208984,1.028076
255057321,0.095215,0.209229,1.023926
255062321,0.092529,0.213623,1.019043
255067321,0.0979,0.214355,1.0271
255072321,0.093262,0.212158,1.026123
255077321,0.093994,0.21582,1.0271
255082321,0.099854,0.214844,1.017822
255087321,0.102539,0.211914,1.029053
255092321,0.102295,0.21582,1.025635
255097321,0.10083,0.215088,1.021484
255102321,0.103271,0.211914,1.015869
255107321,0.103027,0.218262,1.022949
255112321,0.100586,0.215332,1.011475
255117321,0.095947,0.213867,1.013916
255122321,0.100342,0.216309,1.025391
255127321,0.099121,0.216309,1.024658
255132321,0.098145,0.210937,1.031494
255137321,0.098389,0.209717,1.033691
255142321,0.089844,0.210449,1.022461
255147321,0.089355,0.2146,1.022217
255152321,0.094727,0.20874,1.031494
255157321,0.093506,0.213379,1.026855
255162321,0.098145,0.21167,1.020264
255167321,0.100342,0.213135,1.028809
255172321,0.095703,0.214355,1.011963
255177321,0.104004,0.213867,1.016357
255182321,0.104004,0.21582,1.024902
255187321,0.104004,0.217529,1.027588
255192321,0.099854,0.214355,1.026855
255197321,0.10083,0.216797,1.022705
255202321,0.097656,0.212891,1.024658
255207321,0.09668,0.210449,1.021973
255212321,0.092773,0.217529,1.020264
255217321,0.094482,0.209229,1.026611
255222321,0.098633,0.209473,1.032227
255227321,0.096924,0.2146,1.03125
255232321,0.098877,0.212646,1.025391
255237321,0.096191,0.212646,1.022949
255242321,0.097412,0.210693,1.016602
255247321,0.097656,0.21167,1.021973
255252321,0.102051,0.214844,1.023682
255257321,0.102051,0.215088,1.02002
255262321,0.102295,0.213379,1.027588
255267321,0.100342,0.213623,1.026611
255272321,0.098877,0.218262,1.017334
255277321,0.099365,0.212158,1.02124
255282321,0.101563,0.209473,1.023193
255287321,0.101807,0.211914,1.02417
255292321,0.099121,0.210449,1.027832
255297321,0.096924,0.21167,1.023926
255302321,0.096191,0.215088,1.02417
255307321,0.097168,0.210205,1.018311
255312321,0.098877,0.21167,1.018311
255317321,0.101318,0.211914,1.0271
255322321,0.097656,0.210937,1.020264
255327321,0.094727,0.218018,1.025146
255332321,0.101074,0.218506,1.020752
