,RUPEE_1,RUPEE_2,RUPEE_5,RUPEE_10,RUPEE_20
RUPEE_1,10,15,0,1,1
RUPEE_2,16,10,0,0,1
RUPEE_5,19,10,0,0,1
RUPEE_10,11,19,2,0,1
RUPEE_20,5,12,0,3,0
