timestamp_us,x_g,y_g,z_g
806694617,0.094727,0.113525,1.044678
806699617,0.095703,0.11499,1.042969
806704617,0.095459,0.118408,1.040527
806709617,0.09668,0.12085,1.04834
806714617,0.098145,0.114746,1.033691
806719617,0.099121,0.113281,1.029541
806724617,0.093262,0.116699,1.041992
806729617,0.095215,0.113037,1.045898
806734617,0.096191,0.111572,1.040771
806739617,0.095459,0.118652,1.045898
806744617,0.100586,0.11377,1.049072
806749617,0.096924,0.113525,1.038086
806754617,0.095703,0.116943,1.036865
806759617,0.0979,0.115479,1.039063
806764617,0.093994,0.112305,1.040527
806769617,0.100586,0.112793,1.029297
806774617,0.099854,0.118408,1.043701
806779617,0.10083,0.116943,1.041748
806784617,0.0979,0.118164,1.036621
806789617,0.099365,0.11377,1.045898
806794617,0.097412,0.114746,1.045654
806799617,0.093994,0.119141,1.052002
806804617,0.094238,0.112793,1.032959
806809617,0.096191,0.12085,1.04126
806814617,0.095215,0.115234,1.041748
806819617,0.09668,0.117676,1.036621
806824617,0.0979,0.117432,1.047363
806829617,0.097412,0.112793,1.040527
806834617,0.098877,0.114014,1.04126
806839617,0.095703,0.116211,1.044678
806844617,0.099121,0.114258,1.051025
806849617,0.096924,0.117432,1.041504
806854617,0.093262,0.117432,1.037354
806859617,0.099609,0.116699,1.047607
806864617,0.097412,0.115723,1.041016
806869617,0.095947,0.119873,1.040527
806874617,0.091309,0.120361,1.043701
806879617,0.099365,0.115479,1.0354
806884617,0.094482,0.113281,1.040527
806889617,0.098877,0.114746,1.041016
806894617,0.0979,0.116455,1.046387
806899617,0.096436,0.11377,1.042236
806904617,0.093994,0.114746,1.038818
806909617,0.095703,0.117676,1.044922
806914617,0.097412,0.118164,1.042969
806919617,0.092773,0.117676,1.039795
806924617,0.094238,0.115234,1.045166
809709617,0.0979,0.11499,1.051025
809719617,0.102539,0.117188,1.049561
809724617,0.094238,0.116211,1.034424
809729617,0.101807,0.118652,1.050049
809734617,0.096191,0.115479,1.037598
809739617,0.100098,0.113037,1.038574
809744617,0.102783,0.121094,1.047119
809749617,0.078125,0.120117,1.038086
809754617,0.101807,0.11377,1.046143
809759617,0.097412,0.099121,1.030029
809764617,0.114014,0.11377,1.050781
809769617,0.096191,0.123535,1.037109
809774617,0.088623,0.119629,1.046143
809779617,0.099609,0.114502,1.042969
809784617,0.108398,0.105225,1.057617
809789617,0.099121,0.122559,1.037354
809794617,0.088379,0.119385,1.034912
809799617,0.090088,0.118164,1.038574
809804617,0.097412,0.108154,1.046631
809809617,0.109375,0.105957,1.051025
809814617,0.093018,0.125488,1.033936
809819617,0.095215,0.12207,1.058594
809824617,0.098633,0.114258,1.036377
809829617,0.109863,0.114014,1.056641
809834617,0.109375,0.123291,1.063477
809839617,0.093994,0.121582,1.043213
809844617,0.093018,0.118408,1.044922
809849617,0.096436,0.118408,1.052979
809854617,0.097656,0.11084,1.044922
809859617,0.107666,0.109863,1.052734
809864617,0.093506,0.113037,1.036377
809869617,0.09082,0.117188,1.037354
809874617,0.083252,0.109619,1.02124
809879617,0.097412,0.105713,1.053223
809884617,0.100586,0.114502,1.039307
809889617,0.096191,0.114746,1.042725
809894617,0.095215,0.119629,1.030273
809899617,0.09375,0.114502,1.041748
809904617,0.094238,0.117188,1.048584
809909617,0.086182,0.119629,1.043457
809914617,0.154785,0.16748,1.092529
809919617,0.080322,0.13208,1.057373
809924617,0.085693,0.137207,1.09375
809929617,0.105957,0.101807,1.065918
809934617,0.095459,0.11792,1.057861
809939617,0.071533,0.116699,1.012939
809944617,0.095947,0.125,1.046143
809949617,0.094482,0.129395,1.045166
809954617,0.104736,0.101563,1.044922
809959617,0.097168,0.11499,1.032471
809964617,0.090332,0.11084,1.037842
809969617,0.104492,0.116455,1.052734
809974617,0.117676,0.122803,1.052979
809979617,0.085449,0.12207,1.026367
809984617,0.101563,0.112061,1.057861
809989617,0.10376,0.102051,1.04248
809994617,0.099854,0.12915,1.041748
809999617,0.086914,0.126221,1.037354
810004617,0.084961,0.121338,1.030273
810009617,0.099854,0.111572,1.055664
810014617,0.097412,0.109863,1.04126
810019617,0.097168,0.115967,1.043701
810024617,0.0979,0.12207,1.044678
810029617,0.098145,0.123047,1.043457
810034617,0.096191,0.111328,1.043945
810039617,0.098145,0.116455,1.042236
810044617,0.093506,0.119385,1.052979
810049617,0.103027,0.117188,1.047363
810054617,0.098877,0.117676,1.052979
810059617,0.091797,0.119385,1.042236
810064617,0.096191,0.121338,1.052002
810069617,0.09668,0.114502,1.046875
810074617,0.092041,0.119873,1.038574
810079617,0.10083,0.102051,1.036621
810084617,0.093262,0.110596,1.03125
810089617,0.093018,0.116455,1.021973
810094617,0.088867,0.107666,1.029297
810099617,0.099365,0.11499,1.038574
810104617,0.098145,0.121094,1.054688
810109617,0.0979,0.117432,1.045166
