timestamp_us,x_g,y_g,z_g
975489617,0.092529,0.119629,1.036377
975494617,0.0979,0.114014,1.043945
975499617,0.095947,0.112549,1.040039
975504617,0.092529,0.115479,1.039063
975509617,0.09082,0.116211,1.043945
975514617,0.093018,0.115723,1.038086
975519617,0.096191,0.116943,1.040283
975524617,0.099365,0.119141,1.041504
975529617,0.098633,0.113037,1.038574
975534617,0.100342,0.118652,1.038086
975539617,0.095459,0.116943,1.037354
975544617,0.096436,0.12207,1.037842
975549617,0.097412,0.114502,1.041504
975554617,0.102783,0.11377,1.037354
975559617,0.092529,0.119629,1.041748
975564617,0.090576,0.117188,1.037842
975569617,0.096924,0.114014,1.039795
975574617,0.098877,0.113037,1.041016
975579617,0.093018,0.11377,1.040527
975584617,0.091553,0.112305,1.041748
975589617,0.092529,0.112061,1.040771
975594617,0.092773,0.108887,1.042969
975599617,0.096924,0.118896,1.048584
975604617,0.095947,0.115967,1.04126
975609617,0.095459,0.11499,1.038818
975614617,0.099121,0.119873,1.046875
975619617,0.094482,0.119873,1.036377
975624617,0.099121,0.115234,1.035889
975629617,0.100586,0.118408,1.040527
975634617,0.092041,0.11792,1.042236
975639617,0.099365,0.115967,1.039307
975644617,0.09375,0.11792,1.04834
975649617,0.094482,0.114258,1.046143
975654617,0.095703,0.118408,1.040283
975659617,0.096191,0.114502,1.046143
975664617,0.092773,0.120117,1.035645
975669617,0.094238,0.114746,1.035156
975674617,0.099365,0.114014,1.041992
975679617,0.101563,0.114258,1.035156
975684617,0.098877,0.114502,1.044434
975689617,0.100098,0.118652,1.044189
975694617,0.094482,0.117188,1.048584
978514617,0.095947,0.114258,1.049805
978519617,0.09082,0.118652,1.043701
978524617,0.089844,0.114014,1.042725
978529617,0.0896,0.117676,1.04248
978534617,0.092773,0.114258,1.045898
978539617,0.094727,0.116943,1.04541
978544617,0.099121,0.117188,1.039795
978549617,0.096436,0.116943,1.040039
978554617,0.099854,0.115967,1.045166
978559617,0.097168,0.119141,1.040039
978564617,0.096191,0.120117,1.042725
978569617,0.099609,0.118652,1.027588
978574617,0.096436,0.117188,1.047119
978579617,0.093018,0.117676,1.039307
978584617,0.091797,0.112549,1.047607
978589617,0.097656,0.114258,1.04541
978594617,0.098877,0.111572,1.045898
978599617,0.097412,0.114746,1.044189
978604617,0.101074,0.116455,1.045166
978609617,0.099121,0.116211,1.041748
978614617,0.099121,0.118408,1.04834
978619617,0.092773,0.125,1.036865
978624617,0.093262,0.118652,1.047852
978629617,0.096191,0.115967,1.050537
978634617,0.094238,0.11499,1.046143
978639617,0.095215,0.114746,1.032959
978644617,0.094971,0.109375,1.046631
978649617,0.091553,0.114014,1.041504
978654617,0.091309,0.116699,1.036865
978659617,0.094238,0.114014,1.045166
978664617,0.097412,0.111328,1.045166
978669617,0.090088,0.12207,1.043213
978674617,0.087891,0.123535,1.056396
978679617,0.087646,0.114746,1.039063
978684617,0.100098,0.108643,1.04248
978689617,0.102539,0.11377,1.044189
978694617,0.098389,0.116699,1.031494
978699617,0.099609,0.129639,1.058105
978704617,0.087646,0.129639,1.044922
978709617,0.09082,0.121338,1.044189
978714617,0.092529,0.115967,1.039795
978719617,0.102539,0.107178,1.046143
978724617,0.10083,0.110596,1.04541
978729617,0.093994,0.117676,1.043213
978734617,0.093262,0.117676,1.046387
978739617,0.094482,0.116699,1.049072
978744617,0.099609,0.106934,1.040527
978749617,0.095215,0.113037,1.047119
978754617,0.091309,0.121094,1.03833
978759617,0.093994,0.118164,1.050293
978764617,0.092285,0.11792,1.046875
978769617,0.090088,0.119873,1.043213
978774617,0.099854,0.122314,1.041748
978779617,0.095703,0.117188,1.038086
978784617,0.104248,0.117432,1.044189
978789617,0.095215,0.120361,1.03418
978794617,0.093994,0.118164,1.037598
978799617,0.09375,0.116943,1.042236
978804617,0.093506,0.115723,1.036865
978809617,0.093506,0.11377,1.043701
978814617,0.09375,0.113037,1.037842
978819617,0.095947,0.112793,1.041504
978824617,0.090576,0.116699,1.040527
978829617,0.095215,0.114502,1.051514
978834617,0.095215,0.116699,1.039551
978839617,0.097412,0.119873,1.040527
978844617,0.09668,0.117188,1.039795
978849617,0.116455,0.104492,1.035889
978854617,0.100586,0.133057,1.061279
978859617,0.10498,0.118408,1.04834
978864617,0.101318,0.114502,1.036133
978869617,0.103516,0.130615,1.049072
978874617,0.093018,0.119629,1.048584
978879617,0.09375,0.116211,1.033203
978884617,0.098145,0.114014,1.043213
978889617,0.09668,0.111328,1.045166
978894617,0.093018,0.109863,1.038574
978899617,0.094238,0.115723,1.045654
978904617,0.093506,0.116455,1.039307
