timestamp_us,x_g,y_g,z_g
839819617,0.092773,0.11377,1.033691
839824617,0.094238,0.109131,1.037842
839829617,0.09375,0.116211,1.039307
839834617,0.098145,0.115967,1.041992
839839617,0.094238,0.117432,1.047363
839844617,0.10083,0.110596,1.046143
839849617,0.097412,0.115723,1.047363
839854617,0.096436,0.11377,1.042236
839859617,0.098877,0.114746,1.041504
839864617,0.100098,0.115967,1.047363
839869617,0.094238,0.121094,1.048828
839874617,0.096924,0.117676,1.039551
839879617,0.097412,0.11499,1.044434
839884617,0.095215,0.117188,1.03833
839889617,0.096191,0.114258,1.046875
839894617,0.095703,0.114502,1.044189
839899617,0.095215,0.117432,1.040527
839904617,0.093994,0.115234,1.041504
839909617,0.093506,0.115479,1.04248
839914617,0.09082,0.11792,1.04248
839919617,0.095215,0.114502,1.040527
839924617,0.094482,0.122559,1.038086
839929617,0.088379,0.114014,1.029053
839934617,0.09375,0.117432,1.033447
839939617,0.099365,0.115967,1.050293
839944617,0.095215,0.114502,1.029297
839949617,0.103027,0.123047,1.050049
839954617,0.091064,0.118652,1.038574
839959617,0.094727,0.11377,1.034424
839964617,0.099121,0.112793,1.042969
839969617,0.097656,0.110352,1.04126
839974617,0.104004,0.115234,1.053467
839979617,0.101074,0.112061,1.046631
839984617,0.09082,0.11499,1.043457
839989617,0.096436,0.117188,1.039063
839994617,0.091797,0.106445,1.041992
839999617,0.0896,0.111816,1.024414
840004617,0.091797,0.114502,1.038086
840009617,0.098389,0.116455,1.039551
840014617,0.099121,0.117676,1.044434
840019617,0.095215,0.118164,1.040039
842834617,0.095459,0.114258,1.040039
842839617,0.096436,0.111084,1.043701
842844617,0.094238,0.115723,1.039307
842849617,0.094727,0.114014,1.045166
842854617,0.095703,0.115723,1.043701
842859617,0.095215,0.116943,1.046143
842864617,0.094238,0.115723,1.04248
842869617,0.100342,0.114746,1.04248
842874617,0.09375,0.119385,1.041992
842879617,0.097168,0.118164,1.046875
842884617,0.095703,0.119629,1.045654
842889617,0.09375,0.112793,1.037109
842894617,0.093506,0.11792,1.044922
842899617,0.094971,0.115234,1.043945
842904617,0.098877,0.112305,1.046631
842909617,0.103027,0.118408,1.046143
842914617,0.095703,0.113037,1.031982
842919617,0.097412,0.117432,1.031494
842924617,0.094971,0.112061,1.037842
842929617,0.098633,0.11377,1.041992
842934617,0.097168,0.113281,1.044434
842939617,0.097412,0.111816,1.047852
842944617,0.095947,0.115234,1.03833
842949617,0.092285,0.114014,1.040527
842954617,0.096924,0.116455,1.047852
842959617,0.097656,0.11792,1.040527
842964617,0.095459,0.11499,1.041016
842969617,0.092285,0.121338,1.041748
842974617,0.09668,0.116943,1.041016
842979617,0.097412,0.115723,1.044678
842984617,0.093994,0.114502,1.037109
842989617,0.095459,0.113281,1.044678
842994617,0.096924,0.11377,1.041504
842999617,0.095215,0.115479,1.036377
843004617,0.095703,0.115723,1.043701
843009617,0.091797,0.117188,1.038086
843014617,0.094482,0.113525,1.038818
843019617,0.097168,0.118408,1.039795
843024617,0.098389,0.113281,1.042236
843029617,0.099365,0.114014,1.043213
843034617,0.098633,0.119141,1.04248
843039617,0.098389,0.117676,1.043213
843044617,0.0979,0.109863,1.037354
843049617,0.095947,0.115479,1.041748
843054617,0.095215,0.11499,1.041016
843059617,0.093018,0.115479,1.039551
843064617,0.095459,0.111816,1.038818
843069617,0.094482,0.116455,1.044189
843074617,0.093994,0.11792,1.046387
843079617,0.090576,0.112793,1.043213
843084617,0.094971,0.116455,1.042969
843089617,0.095703,0.114502,1.044922
843094617,0.094727,0.114502,1.039063
843099617,0.095703,0.118652,1.039307
843104617,0.098633,0.119873,1.044434
843109617,0.095703,0.116211,1.037598
843114617,0.098145,0.119385,1.043457
843119617,0.095215,0.115723,1.038574
843124617,0.099854,0.111328,1.040771
843129617,0.096436,0.116943,1.04541
843134617,0.095459,0.111084,1.041748
843139617,0.090088,0.118652,1.039307
843144617,0.093994,0.113281,1.039551
843149617,0.094482,0.113281,1.042236
843154617,0.094727,0.116211,1.042725
843159617,0.095947,0.118164,1.050293
843164617,0.098633,0.115234,1.037598
843169617,0.097412,0.114746,1.039307
843174617,0.098389,0.114502,1.040771
843179617,0.097412,0.118408,1.033203
843184617,0.100342,0.117432,1.040283
843189617,0.097656,0.114746,1.038574
843194617,0.097168,0.115234,1.036865
843199617,0.093506,0.118896,1.041504
843204617,0.092773,0.118652,1.043701
843209617,0.093994,0.116211,1.040527
843214617,0.095947,0.11499,1.043701
843219617,0.094482,0.111816,1.04248
843224617,0.09668,0.114502,1.044922
843229617,0.093506,0.115234,1.047852
843234617,0.093994,0.114014,1.043457
843239617,0.094238,0.11084,1.033936
843244617,0.100586,0.109863,1.039063
843249617,0.104248,0.112793,1.038086
843254617,0.099121,0.113525,1.037598
843259617,0.0979,0.119873,1.040527
843264617,0.096924,0.119873,1.039063
843269617,0.095703,0.121094,1.036865
843274617,0.098145,0.120361,1.04248
843279617,0.095459,0.117188,1.039063
843284617,0.090332,0.121094,1.044678
843289617,0.090576,0.123291,1.037842
843294617,0.087158,0.118408,1.042236
843299617,0.095703,0.116943,1.044678
843304617,0.092285,0.114014,1.04248
843309617,0.099854,0.106934,1.037598
843314617,0.101318,0.106689,1.039551
843319617,0.0979,0.110107,1.039307
843324617,0.102051,0.108154,1.04541
843329617,0.093506,0.108398,1.040771
843334617,0.093506,0.109863,1.03833
843339617,0.097168,0.110107,1.041016
843344617,0.090576,0.114258,1.044189
843349617,0.093018,0.116455,1.040771
843354617,0.086426,0.12207,1.044189
843359617,0.085937,0.118896,1.040771
843364617,0.092285,0.114746,1.042236
843369617,0.093018,0.114014,1.043213
843374617,0.095215,0.117432,1.047607
843379617,0.094971,0.116211,1.045166
843384617,0.100342,0.111084,1.035156
843389617,0.099121,0.109131,1.041748
843394617,0.098877,0.111084,1.036621
843399617,0.09668,0.109863,1.038086
843404617,0.101074,0.114014,1.033447
843409617,0.098633,0.114502,1.035645
843414617,0.094971,0.116455,1.040039
843419617,0.095215,0.11792,1.043457
843424617,0.09375,0.118408,1.03833
843429617,0.092041,0.12207,1.041992
843434617,0.093994,0.121826,1.045654
843439617,0.096924,0.123779,1.045654
843444617,0.091797,0.117432,1.042969
843449617,0.0979,0.112793,1.036865
843454617,0.096924,0.115723,1.036133
843459617,0.100342,0.110352,1.040283
843464617,0.103027,0.115234,1.04248
843469617,0.103027,0.115479,1.031738
843474617,0.094482,0.114014,1.048828
843479617,0.091553,0.116211,1.037109
843484617,0.092529,0.116211,1.043457
843489617,0.088135,0.114014,1.044922
843494617,0.092041,0.114746,1.040283
843499617,0.091309,0.113525,1.041016
843504617,0.092529,0.121582,1.039551
843509617,0.092285,0.122314,1.043213
843514617,0.091553,0.121094,1.038574
843519617,0.097412,0.113037,1.039795
843524617,0.10376,0.111328,1.040039
843529617,0.100586,0.11499,1.036377
843534617,0.099854,0.11792,1.035889
843539617,0.099854,0.113281,1.036621
843544617,0.100586,0.110107,1.030762
843549617,0.09375,0.113281,1.041748
843554617,0.092529,0.118896,1.036865
843559617,0.093262,0.113281,1.040771
843564617,0.088867,0.114014,1.050293
843569617,0.091309,0.113525,1.046387
843574617,0.0896,0.113525,1.042236
843579617,0.096436,0.11499,1.047363
843584617,0.103271,0.114258,1.038574
843589617,0.104004,0.112549,1.041016
843594617,0.102295,0.115234,1.04126
843599617,0.100586,0.110596,1.036377
843604617,0.095215,0.11792,1.039795
843609617,0.097656,0.113525,1.038574
843614617,0.09668,0.109131,1.045166
843619617,0.092041,0.11792,1.036621
843624617,0.097168,0.11499,1.042236
843629617,0.094238,0.114502,1.041992
843634617,0.094971,0.115479,1.04541
843639617,0.092773,0.115479,1.043213
843644617,0.095947,0.123535,1.046387
843649617,0.094971,0.115234,1.039063
843654617,0.094727,0.115967,1.033203
843659617,0.098633,0.114746,1.041504
843664617,0.098145,0.115234,1.035156
843669617,0.095215,0.115723,1.034668
843674617,0.100098,0.116943,1.046387
843679617,0.102539,0.118164,1.044678
843684617,0.0979,0.119873,1.050293
843689617,0.09375,0.112305,1.036377
843694617,0.089844,0.115967,1.037842
843699617,0.088867,0.116943,1.045654
843704617,0.092041,0.116943,1.034912
843709617,0.095947,0.112305,1.034912
843714617,0.099609,0.114258,1.044678
