timestamp_us,x_g,y_g,z_g
3235619617,0.19043,0.20874,1.02002
3235624617,0.189941,0.210205,1.013916
3235629617,0.193115,0.202393,1.009766
3235634617,0.192139,0.201172,1.007813
3235639617,0.190674,0.204102,1.014893
3235644617,0.193848,0.207031,1.009521
3235649617,0.197754,0.20752,1.010986
3235654617,0.195068,0.206055,1.018066
3235659617,0.192139,0.20874,1.012207
3235664617,0.192383,0.207275,1.015137
3235669617,0.189453,0.208984,1.003662
3235674617,0.193848,0.207031,1.018799
3235679617,0.194092,0.207275,1.014648
3235684617,0.190918,0.210937,1.016602
3235689617,0.194336,0.207031,1.009033
3235694617,0.192871,0.205811,1.005615
3235699617,0.196533,0.206299,1.021484
3235704617,0.194092,0.206787,1.013916
3235709617,0.194336,0.207764,1.006104
3235714617,0.196289,0.204346,1.008057
3235719617,0.19165,0.205322,1.010498
3235724617,0.192139,0.207275,1.011475
3235729617,0.19165,0.20874,1.006104
3235734617,0.189209,0.211182,1.010742
3235739617,0.19165,0.212891,1.011719
3235744617,0.190674,0.208008,1.014893
3235749617,0.193359,0.207031,1.014893
3235754617,0.192627,0.212158,1.008057
3235759617,0.191406,0.212402,1.013184
3235764617,0.193359,0.206543,1.009766
3235769617,0.195801,0.208252,1.016846
3235774617,0.190674,0.213867,1.010742
3235779617,0.196289,0.210937,1.015381
3235784617,0.189941,0.207275,1.016602
3235789617,0.196777,0.205566,1.001953
3235794617,0.195557,0.203613,1.004395
3235799617,0.193848,0.204102,1.012695
3235804617,0.186279,0.200684,1.012451
3235809617,0.192139,0.204346,1.012939
3235814617,0.189209,0.204834,1.014893
3235819617,0.189941,0.204346,1.018311
3235824617,0.187988,0.213379,1.018066
3235829617,0.192139,0.209961,1.012939
3235834617,0.192383,0.207764,1.012451
3235839617,0.186279,0.210693,1.018311
3235844617,0.193115,0.208496,1.009521
3235849617,0.190674,0.210449,1.018799
3235854617,0.193115,0.205322,1.009277
3235859617,0.196289,0.210693,1.005615
3235864617,0.192871,0.207031,1.008545
3235869617,0.19165,0.208008,1.006348
3235874617,0.194336,0.20459,1.008301
3235879617,0.19458,0.202637,1.009033
3235884617,0.19165,0.202637,1.009033
3235889617,0.195068,0.204834,1.013916
3235894617,0.187256,0.204346,1.012695
3235899617,0.19043,0.20166,1.006836
3235904617,0.193359,0.206299,1.017578
3235909617,0.19165,0.207764,1.008057
3235914617,0.192383,0.210449,1.012939
3235919617,0.191895,0.205078,1.015381
3235924617,0.192139,0.207275,1.013428
3235929617,0.19873,0.206299,1.018799
3235934617,0.19873,0.209229,1.010498
3235939617,0.201904,0.211914,1.010498
3235944617,0.199707,0.205811,1.017578
3235949617,0.194092,0.203125,1.011963
3235954617,0.188721,0.202148,1.013428
3235959617,0.188721,0.204102,1.015381
3235964617,0.177979,0.202637,1.007324
3235969617,0.190186,0.209961,1.011963
3235974617,0.189209,0.21167,1.015869
3235979617,0.186035,0.208984,1.008789
3235984617,0.191406,0.20752,1.014648
3235989617,0.197021,0.209717,1.010742
3235994617,0.194824,0.20752,1.008301
3235999617,0.192871,0.208496,1.015869
3236004617,0.191406,0.208496,1.010254
3236009617,0.186768,0.204834,1.009521
3236014617,0.19751,0.199707,1.011963
3236019617,0.19751,0.202148,1.008545
3236024617,0.196045,0.199707,1.003418
3236029617,0.193848,0.205566,1.014648
3236034617,0.19165,0.208008,1.010498
3236039617,0.190186,0.20752,1.009277
3236044617,0.185791,0.210937,1.020508
3236049617,0.187256,0.209473,1.013428
3236054617,0.192383,0.208496,1.01416
3236059617,0.191162,0.211182,1.018799
3236064617,0.193359,0.209473,1.021484
3236069617,0.192383,0.21167,1.011963
3236074617,0.190918,0.207275,1.011963
3236079617,0.196045,0.205322,1.015137
3236084617,0.190186,0.200928,1.013672
3236089617,0.193359,0.204102,1.015137
3236094617,0.191406,0.204834,1.008301
3236099617,0.193604,0.206055,1.010498
3236104617,0.194336,0.198975,1.009766
3236109617,0.1875,0.207031,1.012207
3236114617,0.193604,0.207275,1.020264
3236119617,0.187988,0.211182,1.011475
3238644617,0.19165,0.203613,1.003906
3238654617,0.189941,0.208984,1.004639
3238659617,0.190674,0.207764,1.01123
3238664617,0.190674,0.20752,1.010254
3238669617,0.196533,0.20459,1.01709
3238674617,0.190918,0.206543,1.012207
3238679617,0.1875,0.205811,1.005859
3238684617,0.193359,0.212891,1.01001
3238689617,0.1875,0.207031,1.010254
3238694617,0.194092,0.206299,1.005127
3238699617,0.190674,0.206055,1.020508
3238704617,0.189941,0.206787,1.012695
3238709617,0.194824,0.205566,1.012451
3238714617,0.192383,0.205566,1.012207
3238719617,0.196045,0.207031,1.014893
3238724617,0.193115,0.210205,1.010498
3238729617,0.199707,0.208984,1.010254
3238734617,0.196289,0.207031,1.01416
3238739617,0.193848,0.202148,1.006836
3238744617,0.189453,0.204834,1.010254
3238749617,0.194092,0.207275,1.007324
3238754617,0.187744,0.203613,1.013428
3238759617,0.188721,0.204834,1.014893
3238764617,0.192627,0.209229,1.013916
3238769617,0.187012,0.21167,1.016602
3238774617,0.190674,0.203857,1.003662
3238779617,0.187256,0.209961,1.011719
3238784617,0.189209,0.20459,1.015381
3238789617,0.195801,0.204834,1.008789
3238794617,0.19165,0.207031,1.011475
3238799617,0.19165,0.203613,1.004395
3238804617,0.192627,0.207031,1.013184
3238809617,0.191895,0.207275,1.012207
3238814617,0.192871,0.212402,1.017334
3238819617,0.192383,0.207275,1.011963
3238824617,0.197266,0.207764,1.013672
3238829617,0.190674,0.210449,1.011719
3238834617,0.188721,0.208984,1.014404
3238839617,0.191162,0.20752,1.016602
3238844617,0.191895,0.20459,1.006836
3238849617,0.1875,0.209229,1.017578
3238854617,0.188232,0.205078,1.015381
3238859617,0.190186,0.203857,1.004883
3238864617,0.183105,0.208008,1.009521
3238869617,0.191895,0.205811,1.013672
3238874617,0.195557,0.205566,1.006836
3238879617,0.19043,0.208252,1.009766
3238884617,0.196533,0.204346,1.015869
3238889617,0.193848,0.207764,1.012207
3238894617,0.196777,0.208008,1.008545
3238899617,0.190186,0.204102,1.017578
3238904617,0.188477,0.202637,1.001465
3238909617,0.194824,0.201172,1.013428
3238914617,0.185303,0.203369,1.011719
3238919617,0.187744,0.207764,1.008057
3238924617,0.189697,0.205078,1.014648
3238929617,0.188232,0.208008,1.01123
3238934617,0.191895,0.207764,1.012207
3238939617,0.194336,0.212158,1.015625
3238944617,0.186279,0.204834,1.011963
3238949617,0.187256,0.20752,1.007568
3238954617,0.19751,0.205322,1.013916
3238959617,0.195312,0.209961,1.013672
3238964617,0.193359,0.206787,1.013672
3238969617,0.189453,0.20752,1.009033
3238974617,0.192627,0.201172,1.008301
3238979617,0.194092,0.202393,1.012451
3238984617,0.194092,0.208496,1.017822
3238989617,0.192627,0.20752,1.012939
3238994617,0.188232,0.210205,1.008545
3238999617,0.19458,0.209961,1.011963
3239004617,0.193604,0.208496,1.01001
3239009617,0.195312,0.206787,1.005859
3239014617,0.196777,0.205811,1.009033
3239019617,0.191406,0.20459,1.011475
3239024617,0.193848,0.208496,1.008789
3239029617,0.191406,0.205322,1.016602
3239034617,0.192871,0.20874,1.01123
3239039617,0.193604,0.209229,1.012207
3239044617,0.19043,0.206787,1.008789
3239049617,0.19043,0.206787,1.015869
3239054617,0.195557,0.203613,1.017334
3239059617,0.193604,0.205811,1.004639
3239064617,0.189941,0.207031,1.010742
3239069617,0.193115,0.205566,1.013672
3239074617,0.19458,0.210449,1.006836
3239079617,0.193848,0.208252,1.013428
3239084617,0.191895,0.203613,1.011963
3239089617,0.193115,0.205811,1.012939
3239094617,0.196289,0.205811,1.011719
3239099617,0.191406,0.209229,1.013916
3239104617,0.194092,0.209473,1.01709
3239109617,0.192871,0.207275,1.013428
3239114617,0.19165,0.208984,1.008301
3239119617,0.194336,0.207764,1.011963
3239124617,0.190918,0.20874,1.006104
3239129617,0.189209,0.208496,1.006836
3239134617,0.19043,0.203613,1.013672
3239139617,0.189697,0.203369,1.015381
3239144617,0.191895,0.205811,1.014893
3239149617,0.193115,0.206787,1.015381
3239154617,0.191162,0.204102,1.009766
3239159617,0.189209,0.210937,1.013672
3239164617,0.188477,0.209229,1.006104
3239169617,0.193115,0.206787,1.006348
3239174617,0.196777,0.203857,1.005127
3239179617,0.197998,0.20752,1.007568
3239184617,0.193848,0.205322,1.009521
3239189617,0.192627,0.207031,1.006104
3239194617,0.193848,0.20752,1.016846
3239199617,0.195312,0.20752,1.009521
3239204617,0.196289,0.208008,1.006592
3239209617,0.191895,0.206787,1.009521
3239214617,0.1875,0.205322,1.013672
3239219617,0.193604,0.206299,1.012207
3239224617,0.189209,0.209473,1.008789
3239229617,0.191895,0.207031,1.008545
3239234617,0.191406,0.206055,1.015137
3239239617,0.193359,0.208008,1.011475
3239244617,0.19165,0.201904,1.013428
3239249617,0.191895,0.206787,1.009033
3239254617,0.190918,0.20166,1.01123
3239259617,0.193115,0.208008,1.012939
3239264617,0.192871,0.209717,1.015137
3239269617,0.196289,0.206055,1.011963
3239274617,0.193848,0.20752,1.010742
3239279617,0.196289,0.204834,1.018555
3239284617,0.192383,0.208252,1.012939
3239289617,0.195312,0.205566,1.010742
3239294617,0.194336,0.210449,1.008057
3239299617,0.193359,0.209473,1.008057
3239304617,0.193848,0.205566,1.010742
3239309617,0.192627,0.208252,1.003418
3239314617,0.193604,0.209229,1.01123
3239319617,0.192627,0.208008,1.013184
3239324617,0.19458,0.209229,1.010986
3239329617,0.192139,0.208252,1.010498
3239334617,0.191162,0.207031,1.014648
3239339617,0.194092,0.208496,1.009277
3239344617,0.193604,0.206543,1.010254
3239349617,0.191406,0.209229,1.006104
3239354617,0.191895,0.206299,1.007813
3239359617,0.191162,0.208008,1.008789
3239364617,0.196533,0.208496,1.008301
3239369617,0.189697,0.210449,1.003906
3239374617,0.189453,0.204102,1.010986
3239379617,0.188232,0.208252,1.01001
3239384617,0.188965,0.206299,1.008301
3239389617,0.192871,0.209229,1.009277
3239394617,0.197021,0.208008,1.016602
3239399617,0.193359,0.208496,1.003906
3239404617,0.190186,0.204102,1.012207
3239409617,0.191162,0.207275,1.001953
3239414617,0.188232,0.208496,1.01416
3239419617,0.189941,0.206055,1.009521
3239424617,0.19043,0.209473,1.017578
3239429617,0.190918,0.206299,1.005859
3239434617,0.194824,0.207275,1.015625
3239439617,0.189209,0.204834,1.01709
3239444617,0.192627,0.204102,1.011963
3239449617,0.193115,0.205566,1.008301
3239454617,0.190186,0.206055,1.011475
3239459617,0.193359,0.211182,1.013428
3239464617,0.195312,0.209473,1.009766
3239469617,0.194092,0.208252,1.007324
3239474617,0.188232,0.205078,1.00708
3239479617,0.187988,0.212158,1.014893
3239484617,0.187256,0.205322,1.009277
3239489617,0.192383,0.20874,1.012695
3239494617,0.192871,0.206055,1.010498
3239499617,0.192139,0.204346,1.009277
3239504617,0.194336,0.204102,1.010742
3239509617,0.194092,0.206055,1.016846
3239514617,0.190918,0.20459,1.004395
3239519617,0.191406,0.203613,1.011475
3239524617,0.19165,0.205811,1.012939
3239529617,0.192871,0.206787,1.012207
3239534617,0.193115,0.204834,1.012939
3239539617,0.195312,0.207275,1.009277
3239544617,0.19458,0.210205,1.020264
3239549617,0.191406,0.20752,1.012695
3239554617,0.191162,0.208496,1.01709
3239559617,0.19043,0.20752,1.017334
3239564617,0.194824,0.207764,1.016602
3239569617,0.192383,0.208252,1.013672
3239574617,0.192383,0.207275,1.013184
3239579617,0.190674,0.207275,1.012207
