timestamp_us,x_g,y_g,z_g
283204606,0.05127,0.230225,1.118896
283209606,0.086426,0.145996,1.155518
283214606,0.083984,0.215332,1.140137
283219606,0.009033,0.226074,1.061035
283224606,0.02124,0.262451,1.020264
283229606,0.015869,0.265137,1.003662
283234606,0.030518,0.226562,1.049316
283239606,0.057861,0.20166,1.01001
283244606,0.140869,0.130615,0.964844
283249606,0.065918,0.15625,0.964111
283254606,0.040039,0.20874,1.040527
283259606,-0.008789,0.1875,1.045166
283264606,0.032959,0.174072,1.039551
283269606,0.085693,0.136719,1.000732
283274606,0.077637,0.144287,1.003418
283279606,0.05127,0.165771,1.018066
283284606,0.031494,0.208008,1.056396
283289606,0.032471,0.203613,1.026611
283294606,0.024902,0.228516,1.040283
283299606,0.041748,0.213623,1.039307
283304606,0.055176,0.176025,1.02417
283309606,0.04834,0.1875,1.005127
283314606,0.080078,0.205811,1.074951
283319606,0.053955,0.223145,1.066406
283324606,0.037354,0.227051,1.077393
283329606,0.049316,0.210449,1.048096
283334606,0.054199,0.185059,1.046387
283339606,0.045166,0.197998,1.015869
283344606,0.057861,0.167969,0.99585
283349606,0.075439,0.168701,1.009277
283354606,0.079346,0.159668,1.034668
283359606,0.057129,0.193359,1.008057
283364606,0.041748,0.172607,0.989502
283369606,0.071777,0.182373,1.036133
283374606,0.075439,0.166748,1.031982
283379606,0.049072,0.187256,1.028564
283384606,0.0354,0.213135,1.048584
283389606,0.03125,0.212891,1.057861
283394606,-0.00415,0.281006,1.051514
283399606,0.020508,0.220215,1.016357
283404606,0.016846,0.226562,1.054443
283409606,0.0625,0.16748,1.036865
283414606,0.075684,0.161133,1.027344
283419606,0.04248,0.227051,1.019775
283424606,0.042236,0.206299,1.048584
283429606,0.048828,0.203125,1.031738
283434606,0.067871,0.19751,1.020508
283439606,0.060303,0.182373,1.020508
283444606,0.029297,0.206299,1.029053
283449606,0.034424,0.218994,1.029785
283454606,0.036377,0.196045,1.024414
283459606,0.048828,0.178955,1.028564
283464606,0.062744,0.16626,1.035645
283469606,0.044922,0.195312,1.032227
283474606,0.043457,0.20874,1.029541
283479606,0.039551,0.192871,1.03418
283484606,0.053467,0.190186,1.064941
283489606,0.042236,0.21875,1.0354
283494606,0.025146,0.217773,1.051514
283499606,0.031494,0.213867,1.046143
283504606,0.043701,0.203369,1.023682
283509606,0.05127,0.205078,1.018066
283514606,0.05835,0.198486,1.031738
283519606,0.04541,0.198975,1.031494
283524606,0.052979,0.213135,1.02417
283529606,0.032715,0.22168,1.031738
283534606,0.023682,0.206787,1.01709
283539606,0.039307,0.205811,1.015625
283544606,0.036621,0.207275,1.032715
283549606,0.040527,0.187256,1.037598
283554606,0.036377,0.202148,1.030273
283559606,0.036865,0.1875,1.033691
